Type,Cars,Velocity,Length,Iter,Efficiency
0,50,5,3,372,0.13
0,50,5,3,367,0.14
0,50,5,3,386,0.13
0,50,5,3,362,0.14
0,50,5,3,354,0.14
0,50,8,3,,
0,50,8,3,241,0.21
0,50,8,3,242,0.21
0,50,8,3,245,0.2
0,50,8,3,,
1,50,5,3,421,0.12
1,50,5,3,403,0.12
1,50,5,3,1000000,0.0
1,50,5,3,419,0.12
1,50,5,3,387,0.13
1,50,8,3,300,0.17
1,50,8,3,276,0.18
1,50,8,3,264,0.19
1,50,8,3,279,0.18
1,50,8,3,247,0.2
